A|ə||
Abandoned|əˈbæn·dənd|adj.|1 deserted, forsaken. 2 unrestrained, profligate.
Abandon|əˈbæn·dən|—v.|1 give up. 2 forsake, desert. 3 (often foll. By to; often refl.) Yield to a passion, another's control, etc. —n. Freedom from inhibitions.  abandonment n. [french: related to *ad-, *ban]
Ability|əˈbɪl·ə·t̬i|n. (pl. -ies)|1 (often foll. By to + infin.) Capacity or power. 2 cleverness, talent. [french: related to *able]
Able|ˈeɪ·bəl|adj. (abler, ablest)|1 (often foll. By to + infin.; used esp. In is able, will be able, etc., replacing tenses of can) having the capacity or power (not able to come). 2 talented, clever.  ably adv. [latin habilis]
About|əˈbɑʊt|—prep.|1 a on the subject of (a book about birds). B relating to (glad about it). C in relation to (symmetry about a plane). 2 at a time near to (about six). 3 a in, round (walked about the town; a scarf about her neck). B all round from a centre (look about you). 4 at points in (strewn about the house). 5 carried with (no money about me). 6 occupied with (about her business). —adv. 1 a approximately (about ten miles). B colloq. In an understatement (just about had enough). 2 nearby (a lot of flu about). 3 in every direction (look about). 4 on the move; in action (out and about). 5 in rotation or succession (turn and turn about).  be about (or all about) colloq. Have as its essential nature (life is all about having fun). Be about to be on the point of (was about to laugh). [old english]
Above|əˈbʌv|—prep.|1 over; on the top of; higher than; over the surface of (head above water; above the din). 2 more than (above twenty people). 3 higher in rank, importance, etc., than. 4 a too great or good for (not above cheating). B beyond the reach of (above my understanding; above suspicion). —adv. 1 at or to a higher point; overhead (the floor above; the sky above). 2 earlier on a page or in a book (as noted above). —adj. Preceding (the above argument). —n. (prec. By the) preceding text (the above shows).  above all most of all, more than anything else. Above oneself conceited, arrogant. [old english: related to *a2]
Abroad|əˈbrɔd|adv.|1 in or to a foreign country or countries. 2 widely (scatter abroad). 3 in circulation (rumour abroad).
Absence|ˈæb·səns|n.|1 being away. 2 time of this. 3 (foll. By of) lack of.  absence of mind inattentiveness. [latin absentia]
Absent|ˈæb·sənt|—adj.|1 not present. 2 not existing; lacking. 3 inattentive. —v.refl. Go, or stay, away.  absently adv. (in sense 3 of adj.).
Absolute|ˈæb·səˌlut|—adj.|1 complete, utter (absolute bliss). 2 unconditional (absolute authority). 3 despotic (absolute monarch). 4 not relative or comparative (absolute standard). 5 gram. A (of a construction) syntactically independent of the rest of the sentence, as in dinner being over, we left the table. B (of an adjective or transitive verb) without an expressed noun or object (e.g. The deaf, guns kill). 6 (of a legal decree etc.) Final. —n. Philos. (prec. By the) that which can exist independently of anything else. [latin: related to *absolve]
Absolutely|ˈæb·səˌlut·li|adv.|1 completely, utterly. 2 in an absolute sense (god exists absolutely). 3  colloq. (used in reply) quite so; yes.
